bodyTechnician,partNumber,description,orderedQty,orderedDate,unitType,receivedQty,receivedDate
Steve,BT-052,Rear Bumper,4,2023-12-14T00:00:00Z,meter,2,2023-12-16T00:00:00Z
Steve,BT-053,Wheel Rim,3,2023-12-16T00:00:00Z,liter,0,
Joe,BT-054,Control Arm,5,2024-01-03T00:00:00Z,pack,1,2024-01-08T00:00:00Z
Joe,BT-055,Headlight Assembly,4,2023-12-21T00:00:00Z,piece,0,
Chris,BT-056,Left Door Panel,1,2023-12-17T00:00:00Z,liter,1,2023-12-21T00:00:00Z
Chris,BT-057,CV Joint,4,2023-12-24T00:00:00Z,liter,4,2023-12-29T00:00:00Z
Chris,BT-058,CV Joint,3,2023-12-26T00:00:00Z,pack,4,2023-12-30T00:00:00Z
Rob,BT-059,Side Mirror,3,2023-12-12T00:00:00Z,kg,0,
Rob,BT-060,Left Door Panel,2,2023-12-14T00:00:00Z,meter,2,2023-12-18T00:00:00Z
Chris,BT-061,Window Motor,2,2023-12-20T00:00:00Z,kg,0,
Chris,BT-062,Control Arm,3,2023-12-13T00:00:00Z,liter,0,
Chris,BT-063,Rear Bumper,4,2024-01-06T00:00:00Z,pack,1,2024-01-10T00:00:00Z
Tom,BT-064,Dashboard Pad,4,2023-12-18T00:00:00Z,pack,3,2023-12-25T00:00:00Z
Tom,BT-065,Quarter Panel,1,2023-12-30T00:00:00Z,kg,2,2024-01-05T00:00:00Z
Chris,BT-066,Headliner,1,2023-12-29T00:00:00Z,liter,0,
Chris,BT-067,Seat Frame,4,2023-12-22T00:00:00Z,kg,1,2023-12-28T00:00:00Z
Chris,BT-068,Headliner,3,2023-12-31T00:00:00Z,liter,2,2024-01-04T00:00:00Z
Chris,BT-069,Tailgate,3,2023-12-19T00:00:00Z,piece,3,2023-12-25T00:00:00Z
Chris,BT-070,Door Handle,4,2023-12-28T00:00:00Z,piece,4,2023-12-31T00:00:00Z
Rob,BT-071,Alternator,3,2023-12-13T00:00:00Z,pack,0,
Rob,BT-072,Front Bumper,5,2023-12-29T00:00:00Z,liter,0,
Rob,BT-073,Brake Caliper,2,2024-01-05T00:00:00Z,pack,4,2024-01-07T00:00:00Z
Steve,BT-074,Window Regulator,3,2024-01-05T00:00:00Z,meter,4,2024-01-08T00:00:00Z
Steve,BT-075,Windshield Trim,3,2023-12-29T00:00:00Z,meter,4,2023-12-31T00:00:00Z
Steve,BT-076,Side Mirror,3,2023-12-27T00:00:00Z,liter,3,2023-12-30T00:00:00Z
Mike,BT-077,Headlight Assembly,2,2023-12-17T00:00:00Z,liter,0,
Mike,BT-078,Wheel Rim,3,2023-12-15T00:00:00Z,pack,0,
Mike,BT-079,Hood Latch,1,2024-01-03T00:00:00Z,piece,1,2024-01-05T00:00:00Z
Steve,BT-080,Alternator,3,2023-12-14T00:00:00Z,meter,0,
Steve,BT-081,Antenna,1,2023-12-15T00:00:00Z,pack,0,
Mike,BT-082,Alternator,1,2023-12-28T00:00:00Z,liter,3,2024-01-04T00:00:00Z
Mike,BT-083,Alternator,2,2024-01-06T00:00:00Z,pack,4,2024-01-09T00:00:00Z
Mike,BT-084,Suspension Arm,1,2023-12-20T00:00:00Z,piece,0,
Tom,BT-085,Seat Frame,3,2023-12-16T00:00:00Z,piece,2,2023-12-22T00:00:00Z
Tom,BT-086,Alternator,4,2023-12-22T00:00:00Z,piece,0,
Dan,BT-087,Fuel Pump,5,2023-12-18T00:00:00Z,piece,4,2023-12-24T00:00:00Z
Dan,BT-088,Window Regulator,4,2024-01-04T00:00:00Z,kg,4,2024-01-11T00:00:00Z
Dan,BT-089,Left Door Panel,4,2023-12-22T00:00:00Z,meter,1,2023-12-25T00:00:00Z
Steve,BT-090,Control Arm,3,2023-12-30T00:00:00Z,kg,3,2024-01-06T00:00:00Z
Steve,BT-091,Antenna,4,2024-01-04T00:00:00Z,piece,0,
Mike,BT-092,Brake Caliper,2,2023-12-15T00:00:00Z,kg,1,2023-12-21T00:00:00Z
Mike,BT-093,Rear Bumper,5,2023-12-27T00:00:00Z,piece,3,2024-01-02T00:00:00Z
Steve,BT-094,Wheel Rim,1,2023-12-19T00:00:00Z,piece,4,2023-12-27T00:00:00Z
Steve,BT-095,CV Joint,2,2023-12-13T00:00:00Z,liter,0,
Steve,BT-096,Weatherstripping,3,2023-12-24T00:00:00Z,kg,0,
Dan,BT-097,Window Motor,3,2023-12-28T00:00:00Z,kg,3,2024-01-02T00:00:00Z
Dan,BT-098,Side Mirror,1,2023-12-12T00:00:00Z,meter,3,2023-12-16T00:00:00Z
Rob,BT-099,Antenna,1,2023-12-23T00:00:00Z,meter,3,2023-12-27T00:00:00Z
Rob,BT-100,Door Handle,1,2023-12-30T00:00:00Z,liter,1,2024-01-07T00:00:00Z
Mike,BT-101,Alternator,5,2024-01-05T00:00:00Z,pack,1,2024-01-11T00:00:00Z
Mike,BT-102,Rear Bumper,4,2024-01-03T00:00:00Z,piece,3,2024-01-09T00:00:00Z
Mike,BT-103,Quarter Panel,1,2023-12-21T00:00:00Z,liter,0,
Kevin,BT-104,Brake Caliper,1,2024-01-04T00:00:00Z,piece,1,2024-01-06T00:00:00Z
Kevin,BT-105,Tailgate,5,2023-12-27T00:00:00Z,piece,3,2024-01-04T00:00:00Z
Kevin,BT-106,Windshield Trim,3,2023-12-20T00:00:00Z,meter,2,2023-12-26T00:00:00Z
Kevin,BT-107,Door Lock,1,2024-01-01T00:00:00Z,piece,0,
Kevin,BT-108,Side Mirror,5,2023-12-27T00:00:00Z,meter,2,2024-01-03T00:00:00Z
Mike,BT-109,Seat Frame,5,2023-12-12T00:00:00Z,meter,2,2023-12-16T00:00:00Z
Mike,BT-110,Headlight Assembly,5,2023-12-13T00:00:00Z,liter,4,2023-12-19T00:00:00Z
Mike,BT-111,Brake Caliper,3,2023-12-23T00:00:00Z,liter,4,2023-12-29T00:00:00Z
Joe,BT-112,Rear Bumper,4,2023-12-31T00:00:00Z,liter,0,
Joe,BT-113,Tailgate,5,2024-01-01T00:00:00Z,meter,1,2024-01-03T00:00:00Z
Rob,BT-114,CV Joint,2,2024-01-03T00:00:00Z,meter,1,2024-01-06T00:00:00Z
Rob,BT-115,Window Motor,1,2024-01-03T00:00:00Z,kg,1,2024-01-06T00:00:00Z
Rob,BT-116,Weatherstripping,1,2023-12-16T00:00:00Z,pack,0,
Mike,BT-117,Quarter Panel,1,2024-01-01T00:00:00Z,liter,1,2024-01-03T00:00:00Z
Mike,BT-118,Condenser,3,2023-12-18T00:00:00Z,liter,1,2023-12-21T00:00:00Z
Kevin,BT-119,Headliner,2,2023-12-24T00:00:00Z,meter,3,2023-12-31T00:00:00Z
Kevin,BT-120,Seat Frame,4,2023-12-18T00:00:00Z,liter,2,2023-12-21T00:00:00Z
Kevin,BT-121,Headliner,2,2023-12-25T00:00:00Z,piece,4,2023-12-27T00:00:00Z
Joe,BT-122,Quarter Panel,1,2024-01-04T00:00:00Z,liter,2,2024-01-08T00:00:00Z
Joe,BT-123,Fuel Pump,1,2023-12-16T00:00:00Z,kg,4,2023-12-19T00:00:00Z
Dan,BT-124,Headliner,2,2023-12-30T00:00:00Z,liter,2,2024-01-03T00:00:00Z
Dan,BT-125,Weatherstripping,2,2023-12-27T00:00:00Z,kg,0,
Chris,BT-126,Front Bumper,2,2023-12-26T00:00:00Z,kg,0,
Chris,BT-127,Rear Bumper,3,2023-12-24T00:00:00Z,liter,2,2023-12-30T00:00:00Z
Rob,BT-128,Window Motor,4,2024-01-03T00:00:00Z,piece,3,2024-01-11T00:00:00Z
Rob,BT-129,Wheel Rim,3,2023-12-14T00:00:00Z,meter,2,2023-12-16T00:00:00Z
Rob,BT-130,Window Regulator,5,2024-01-05T00:00:00Z,pack,0,
Dan,BT-131,Hood Latch,1,2024-01-01T00:00:00Z,liter,1,2024-01-07T00:00:00Z
Dan,BT-132,Brake Caliper,3,2024-01-05T00:00:00Z,piece,4,2024-01-11T00:00:00Z
Kevin,BT-133,Window Motor,4,2023-12-18T00:00:00Z,liter,3,2023-12-25T00:00:00Z
Kevin,BT-134,Brake Caliper,2,2024-01-03T00:00:00Z,kg,0,
Kevin,BT-135,Suspension Arm,5,2024-01-02T00:00:00Z,pack,0,
Mike,BT-136,Door Handle,3,2023-12-15T00:00:00Z,piece,2,2023-12-21T00:00:00Z
Mike,BT-137,Window Regulator,3,2023-12-22T00:00:00Z,kg,2,2023-12-30T00:00:00Z
Mike,BT-138,Door Lock,1,2023-12-19T00:00:00Z,piece,1,2023-12-25T00:00:00Z
Tom,BT-139,Headliner,4,2023-12-19T00:00:00Z,pack,2,2023-12-21T00:00:00Z
Tom,BT-140,Door Lock,2,2024-01-04T00:00:00Z,meter,4,2024-01-11T00:00:00Z
Tom,BT-141,Front Bumper,5,2023-12-18T00:00:00Z,kg,3,2023-12-20T00:00:00Z
Tom,BT-142,Control Arm,5,2023-12-15T00:00:00Z,kg,0,
Joe,BT-143,Windshield Trim,3,2023-12-14T00:00:00Z,pack,1,2023-12-17T00:00:00Z
Joe,BT-144,Fuel Pump,2,2023-12-29T00:00:00Z,piece,0,
Rob,BT-145,Radiator,4,2024-01-03T00:00:00Z,meter,1,2024-01-06T00:00:00Z
Rob,BT-146,Windshield Trim,5,2024-01-06T00:00:00Z,pack,1,2024-01-10T00:00:00Z
Rob,BT-147,Weatherstripping,1,2023-12-19T00:00:00Z,kg,0,
Chris,BT-148,Window Regulator,2,2023-12-23T00:00:00Z,piece,0,
Chris,BT-149,CV Joint,3,2024-01-04T00:00:00Z,meter,1,2024-01-11T00:00:00Z
Chris,BT-150,Door Handle,1,2023-12-17T00:00:00Z,meter,0,
Tom,BT-151,Left Door Panel,4,2023-12-18T00:00:00Z,meter,4,2023-12-22T00:00:00Z
Tom,BT-152,Grille,3,2023-12-31T00:00:00Z,kg,2,2024-01-02T00:00:00Z
Mike,BT-153,Tailgate,1,2024-01-03T00:00:00Z,meter,4,2024-01-06T00:00:00Z
Mike,BT-154,Rear Bumper,1,2023-12-23T00:00:00Z,meter,4,2023-12-26T00:00:00Z
Joe,BT-155,Door Handle,2,2023-12-14T00:00:00Z,liter,4,2023-12-16T00:00:00Z
Joe,BT-156,Headliner,2,2024-01-03T00:00:00Z,pack,3,2024-01-09T00:00:00Z
Joe,BT-157,Weatherstripping,3,2023-12-26T00:00:00Z,liter,4,2024-01-01T00:00:00Z
Joe,BT-158,Headlight Assembly,4,2023-12-31T00:00:00Z,liter,1,2024-01-07T00:00:00Z
Dan,BT-159,Alternator,2,2024-01-05T00:00:00Z,piece,1,2024-01-07T00:00:00Z
Dan,BT-160,Window Regulator,1,2023-12-19T00:00:00Z,pack,0,
Dan,BT-161,Left Door Panel,5,2023-12-27T00:00:00Z,meter,2,2024-01-03T00:00:00Z
Rob,BT-162,Door Handle,5,2024-01-06T00:00:00Z,pack,1,2024-01-08T00:00:00Z
Rob,BT-163,Weatherstripping,3,2023-12-14T00:00:00Z,liter,1,2023-12-20T00:00:00Z
Rob,BT-164,Hood Latch,2,2023-12-17T00:00:00Z,piece,2,2023-12-22T00:00:00Z
Rob,BT-165,Quarter Panel,5,2023-12-28T00:00:00Z,piece,1,2024-01-02T00:00:00Z
Steve,BT-166,Front Bumper,1,2023-12-26T00:00:00Z,piece,3,2023-12-30T00:00:00Z
Steve,BT-167,Condenser,1,2024-01-05T00:00:00Z,piece,1,2024-01-12T00:00:00Z
Steve,BT-168,Windshield Trim,2,2023-12-22T00:00:00Z,kg,1,2023-12-29T00:00:00Z
Steve,BT-169,Window Regulator,3,2023-12-26T00:00:00Z,piece,0,
Steve,BT-170,Window Motor,2,2024-01-06T00:00:00Z,liter,1,2024-01-12T00:00:00Z
Rob,BT-171,Fuel Pump,3,2023-12-24T00:00:00Z,liter,3,2024-01-01T00:00:00Z
Rob,BT-172,Suspension Arm,5,2023-12-17T00:00:00Z,pack,2,2023-12-25T00:00:00Z
Rob,BT-173,Hood Latch,2,2023-12-27T00:00:00Z,liter,1,2024-01-02T00:00:00Z
Steve,BT-174,Headliner,1,2023-12-22T00:00:00Z,piece,4,2023-12-24T00:00:00Z
Steve,BT-175,Door Handle,4,2023-12-31T00:00:00Z,liter,3,2024-01-07T00:00:00Z
Steve,BT-176,Dashboard Pad,2,2023-12-14T00:00:00Z,kg,3,2023-12-20T00:00:00Z
Steve,BT-177,Hood Latch,3,2023-12-24T00:00:00Z,pack,4,2023-12-27T00:00:00Z
Steve,BT-178,Grille,1,2023-12-19T00:00:00Z,liter,0,
Kevin,BT-179,Tailgate,1,2023-12-17T00:00:00Z,pack,0,
Kevin,BT-180,Quarter Panel,2,2024-01-03T00:00:00Z,meter,1,2024-01-08T00:00:00Z
Kevin,BT-181,Suspension Arm,3,2023-12-25T00:00:00Z,piece,4,2023-12-31T00:00:00Z
Joe,BT-182,Rear Bumper,4,2023-12-16T00:00:00Z,liter,1,2023-12-20T00:00:00Z
Joe,BT-183,Weatherstripping,3,2023-12-28T00:00:00Z,meter,1,2024-01-03T00:00:00Z
Mike,BT-184,Door Handle,5,2023-12-27T00:00:00Z,meter,0,
Mike,BT-185,Headlight Assembly,5,2023-12-24T00:00:00Z,piece,0,
Mike,BT-186,Hood Latch,4,2023-12-24T00:00:00Z,pack,1,2023-12-27T00:00:00Z
Mike,BT-187,Quarter Panel,3,2024-01-04T00:00:00Z,meter,3,2024-01-10T00:00:00Z
Mike,BT-188,Grille,5,2023-12-12T00:00:00Z,kg,2,2023-12-17T00:00:00Z
Mike,BT-189,Windshield Trim,4,2023-12-18T00:00:00Z,piece,3,2023-12-26T00:00:00Z
Steve,BT-190,Control Arm,4,2023-12-21T00:00:00Z,meter,0,
Steve,BT-191,Grille,3,2023-12-23T00:00:00Z,piece,0,
Steve,BT-192,Antenna,5,2023-12-17T00:00:00Z,meter,3,2023-12-20T00:00:00Z
Chris,BT-193,Window Motor,1,2023-12-18T00:00:00Z,piece,0,
Chris,BT-194,Condenser,3,2023-12-27T00:00:00Z,pack,3,2024-01-01T00:00:00Z
Chris,BT-195,Dashboard Pad,5,2023-12-30T00:00:00Z,piece,0,
Kevin,BT-196,Radiator,3,2024-01-04T00:00:00Z,liter,2,2024-01-07T00:00:00Z
Kevin,BT-197,Headliner,5,2024-01-04T00:00:00Z,piece,0,
