RO Number,Line,Part Number,Part Description,Part Type,Vendor Name,RO Qty,Ordered Qty,Ordered Date,Expected Delivery,Received Qty,Invoice Date,Returned Qty,,
1003,8,EN-8126,Glass #9745,Engine,Advanced Online Hub,5,5,2023-12-30,2024-01-01,5,2024-01-01,1,,
1003,9,DM-7753,Engine #3551,Engine,National Online Motors,1,1,2024-01-01,2024-01-06,1,2024-01-05,1,,
1003,10,WG-9767,Panel #9059,Exterior,Pro Express Group,2,2,2023-12-02,2023-12-07,2,2023-12-05,1,,
1003,11,IN-1118,Glass #7121,Electrical,Midwest Online Center,3,3,2023-12-02,2023-12-09,3,2023-12-07,0,,
1003,12,CP-5308,Hardware #7917,Electrical,Quality Direct Supplies #264,2,2,2024-01-06,2024-01-10,2,2024-01-10,1,,
1003,13,HD-4080,Hardware #3988,Assembly,Advanced Pro Supplies,3,3,2024-01-10,2024-01-17,3,2024-01-13,1,,
1004,1,CP-6253,Panel #3492,Panel,Quality Direct Motors,4,4,2023-12-09,2023-12-15,4,2023-12-12,1,,
1004,2,SU-8183,Panel #4814,Hardware,Quality Online Hub,3,3,2023-12-03,2023-12-05,3,2023-12-06,0,,
1004,3,DM-8597,Panel #6410,Hardware,Superior Group #74,4,4,2023-12-02,2023-12-06,4,2023-12-05,1,,
1004,4,BD-4148,Engine #7251,Panel,ACE Components,1,1,2023-12-05,2023-12-08,1,2023-12-10,1,,
1004,5,CP-8550,Hardware #9538,Electrical,National Pro Auto Parts,4,4,2023-12-17,2023-12-21,4,2023-12-19,0,,
1004,6,SU-9534,Hardware #5150,Exterior,Quality Group,3,3,2023-12-26,2024-01-01,3,2023-12-28,0,,
1004,7,EN-8113,Suspension #1246,Assembly,National Pro Motors,2,2,2023-12-14,2023-12-17,2,2023-12-15,0,,
1004,8,EL-8786,Trim #3539,Suspension,Pro Express Hub,2,2,2024-01-08,2024-01-09,2,2024-01-09,0,,
1004,9,FD-6824,Assembly #9787,Hardware,Midwest Pro Distributors,5,5,2023-12-17,2023-12-19,5,2023-12-20,0,,
1004,10,SU-4161,Panel #7189,Suspension,Apex Online Center,5,5,2024-01-02,2024-01-04,5,2024-01-05,1,,
1004,11,TR-9029,Electrical #4057,Glass,Quality Express Components,4,4,2023-12-18,2023-12-19,4,2023-12-23,1,,
1004,12,WD-9702,Assembly #8362,Engine,Advanced Pro Auto Parts,5,5,2023-12-22,2023-12-28,5,2023-12-27,0,,
1004,13,FD-6965,Trim #4912,Suspension,Superior Express Supplies,5,5,2024-01-05,2024-01-08,5,2024-01-09,0,,
1005,1,EL-5638,Suspension #7714,Suspension,Superior Direct Group,5,5,2024-01-05,2024-01-12,5,2024-01-09,0,,
1005,2,EX-1512,Electrical #2753,Exterior,Elite Motors,1,1,2023-12-08,2023-12-13,1,2023-12-10,0,,
1005,3,FD-7002,Electrical #2161,Panel,Quality Express Distributors #106,4,4,2023-12-08,2023-12-09,4,2023-12-12,1,,
1005,4,TR-7814,Suspension #1955,Trim,Apex Plus Supplies,1,1,2024-01-02,2024-01-09,0,,0,,
1005,5,TR-2591,Hardware #4784,Glass,Midwest Direct Center,3,3,2024-01-04,2024-01-05,3,2024-01-05,0,,
1005,6,TR-7802,Hardware #6864,Exterior,ACE Hub,2,2,2023-12-14,2023-12-16,2,2023-12-19,0,,
1005,7,EN-3591,Glass #8258,Suspension,Premier Max Solutions,5,5,2023-12-08,2023-12-10,5,2023-12-12,1,,
1005,8,EL-4943,Trim #9939,Electrical,Elite Plus Auto Parts #192,4,4,2024-01-06,2024-01-09,4,2024-01-10,1,,
1005,9,FD-1567,Engine #1267,Glass,Pro Max Components,4,4,2024-01-06,2024-01-12,4,2024-01-10,1,,
1005,10,FD-5521,Glass #9376,Glass,National Solutions,2,2,2023-12-21,2023-12-22,2,2023-12-23,1,,
1005,11,FM-7014,Trim #5093,Electrical,Elite Pro Group,4,4,2024-01-07,2024-01-09,2,2024-01-09,0,,
1005,12,SU-6319,Exterior #3832,Exterior,Advanced Online Auto Parts,5,5,2023-12-21,2023-12-22,5,2023-12-23,0,,
1005,13,WD-1916,Suspension #6700,Interior,Midwest Pro Services,1,1,2023-12-08,2023-12-13,1,2023-12-13,1,,
1006,1,FD-5993,Glass #1674,Suspension,Pro Max Hub #276,5,5,2023-12-09,2023-12-16,5,2023-12-10,1,,
1006,2,EN-7436,Exterior #9269,Hardware,Superior Pro Services #113,2,2,2024-01-07,2024-01-09,2,2024-01-09,0,,
1006,3,WD-8796,Trim #1807,Glass,ACE Max Solutions,2,2,2023-12-29,2024-01-01,2,2023-12-31,1,,
1006,4,WG-4245,Exterior #7476,Trim,Advanced Plus Group,4,4,2023-12-18,2023-12-19,4,2023-12-20,0,,
1006,5,WD-5362,Interior #6298,Trim,Pro Express Hub,5,5,2024-01-06,2024-01-11,5,2024-01-08,0,,
1006,6,DM-6644,Trim #1396,Engine,Apex Max Supplies #86,3,3,2023-12-09,2023-12-15,3,2023-12-12,0,,
1006,7,WG-1735,Electrical #4271,Suspension,Midwest Pro Hub,4,4,2023-12-24,2023-12-29,4,2023-12-29,0,,
1006,8,EX-5713,Panel #6624,Hardware,Elite Max Distributors,2,2,2023-12-07,2023-12-08,2,2023-12-12,0,,
1006,9,CP-9814,Electrical #4339,Glass,Quality Pro Supplies,3,0,,,0,,0,,
1006,10,EL-9631,Panel #5185,Assembly,Premier Online Auto Parts,2,2,2024-01-06,2024-01-10,2,2024-01-07,1,,
1006,11,WG-1136,Hardware #7367,Engine,Premier Direct Distributors,5,5,2023-12-20,2023-12-22,5,2023-12-23,0,,
1006,12,TR-2631,Suspension #8940,Trim,National Pro Distributors,4,4,2023-12-08,2023-12-09,4,2023-12-10,1,,
1006,13,FD-5053,Glass #5995,Suspension,Apex Plus Group,4,4,2023-12-07,2023-12-09,4,2023-12-12,0,,
1007,1,EN-5953,Electrical #9212,Engine,Apex Direct Solutions,3,3,2023-12-27,2024-01-02,3,2023-12-30,1,,
1007,2,CP-3485,Suspension #7436,Assembly,Quality Plus Supplies,1,1,2024-01-11,2024-01-14,1,2024-01-16,1,,
1007,3,CP-3502,Interior #6118,Trim,Elite Online Services,5,5,2023-12-26,2023-12-31,5,2023-12-28,1,,
1007,4,EX-3262,Engine #9582,Assembly,Quality Max Center,2,2,2023-12-30,2024-01-04,0,,0,,
1007,5,TR-9732,Hardware #4016,Suspension,Superior Group #74,2,2,2023-12-11,2023-12-17,2,2023-12-14,0,,
1007,6,WG-5485,Assembly #4079,Hardware,Elite Plus Auto Parts,4,4,2023-12-03,2023-12-10,4,2023-12-07,1,,
1007,7,EL-4783,Trim #4804,Electrical,Pro Distributors,5,5,2023-12-13,2023-12-14,5,2023-12-18,1,,
1007,8,SU-7126,Assembly #7348,Exterior,National Pro Auto Parts,4,4,2023-12-24,2023-12-25,4,2023-12-26,1,,
1007,9,FM-7767,Electrical #4323,Electrical,National Pro Hub,1,1,2023-12-10,2023-12-12,1,2023-12-14,0,,
1007,10,CP-8005,Interior #1685,Trim,Premier Pro Center,4,4,2023-12-13,2023-12-17,4,2023-12-16,1,,
1007,11,TR-2791,Exterior #8485,Panel,Elite Pro Supplies,5,5,2023-12-22,2023-12-26,5,2023-12-27,0,,
1007,12,TR-1807,Electrical #5770,Exterior,Quality Express Auto Parts,1,1,2024-01-04,2024-01-09,1,2024-01-09,1,,
1007,13,FM-1893,Glass #3330,Exterior,Pro Plus Distributors,4,4,2023-12-21,2023-12-28,4,2023-12-23,1,,
1008,1,HD-7775,Suspension #8387,Panel,Premier Direct Auto Parts,2,2,2023-12-07,2023-12-13,2,2023-12-12,0,,
1008,2,FM-6309,Assembly #3024,Hardware,Elite Direct Solutions,2,2,2023-12-31,2024-01-05,2,2024-01-04,0,,
1008,3,HD-7235,Panel #3799,Suspension,Premier Online Supplies #289,5,5,2023-12-30,2024-01-05,5,2024-01-03,0,,
1008,4,FM-6071,Exterior #5731,Assembly,ACE Max Services,2,2,2023-12-11,2023-12-13,2,2023-12-12,1,,
1008,5,IN-5146,Panel #8514,Exterior,Superior Express Supplies #255,5,0,,,0,,0,,
1008,6,WG-7719,Exterior #2300,Trim,National Group,2,2,2023-12-02,2023-12-07,2,2023-12-04,1,,
1008,7,BD-3429,Panel #6718,Panel,Superior Group #74,5,5,2023-12-17,2023-12-22,5,2023-12-19,0,,
1008,8,WD-1803,Hardware #7831,Assembly,Superior Express Supplies #82,5,5,2023-12-04,2023-12-10,5,2023-12-07,1,,
1008,9,WG-6901,Panel #2525,Engine,Apex Direct Center,5,5,2023-12-20,2023-12-25,5,2023-12-25,0,,
1008,10,FM-8713,Assembly #2999,Engine,Elite Online Services,4,4,2023-12-25,2023-12-29,4,2023-12-30,0,,
1008,11,WD-9666,Hardware #8924,Trim,Elite Online Distributors,2,2,2024-01-04,2024-01-08,2,2024-01-09,0,,
1008,12,BD-9132,Glass #9154,Exterior,Premier Max Components,3,3,2023-12-29,2024-01-03,3,2024-01-03,1,,
1008,13,FD-8616,Hardware #4396,Trim,Advanced Direct Services #212,2,2,2024-01-10,2024-01-12,2,2024-01-11,0,,
1009,1,EN-4296,Engine #5168,Hardware,Apex Max Hub #157,5,5,2023-12-28,2023-12-29,5,2023-12-30,0,,
1009,2,DM-7488,Trim #1477,Assembly,Premier Direct Group,1,1,2023-12-21,2023-12-26,1,2023-12-22,1,,
1009,3,EN-3224,Exterior #3545,Exterior,Apex Auto Parts,4,4,2023-12-23,2023-12-30,4,2023-12-27,0,,
1009,4,EL-6169,Glass #9779,Panel,Quality Express Distributors #106,4,4,2023-12-23,2023-12-27,4,2023-12-24,1,,
1009,5,FM-1510,Suspension #7147,Glass,Elite Online Motors,3,3,2024-01-07,2024-01-13,3,2024-01-08,0,,
1009,6,SU-6152,Panel #5448,Interior,Quality Plus Supplies,5,5,2024-01-07,2024-01-12,5,2024-01-08,1,,
1009,7,BD-2838,Suspension #1612,Electrical,Elite Express Distributors,3,3,2024-01-02,2024-01-04,3,2024-01-04,1,,
1009,8,WG-9192,Assembly #4116,Suspension,Superior Express Distributors #247,5,0,,,0,,0,,
1009,9,CP-1598,Exterior #7350,Glass,Superior Pro Services,1,1,2023-12-21,2023-12-28,1,2023-12-26,0,,
1009,10,WG-1755,Hardware #9529,Engine,Advanced Online Components,5,5,2023-12-02,2023-12-05,5,2023-12-03,1,,
1009,11,CP-5695,Engine #9720,Suspension,Elite Express Center,2,2,2024-01-07,2024-01-14,2,2024-01-10,0,,
1009,12,FD-9422,Hardware #4384,Glass,Advanced Direct Center #179,3,3,2023-12-09,2023-12-12,0,,0,,
1009,13,BD-2167,Engine #6549,Glass,Quality Direct Supplies,3,3,2024-01-06,2024-01-09,3,2024-01-11,0,,
1010,1,EN-1826,Hardware #7284,Panel,Quality Plus Supplies,4,0,,,0,,0,,
1010,2,FM-6444,Electrical #9740,Hardware,Midwest Direct Services,5,5,2023-12-27,2023-12-29,5,2023-12-31,1,,
1010,3,WG-6085,Exterior #8709,Electrical,Advanced Pro Distributors #114,4,4,2024-01-07,2024-01-09,0,,0,,
1010,4,BD-6412,Suspension #8426,Exterior,Advanced Online Motors,3,3,2023-12-11,2023-12-18,3,2023-12-14,1,,
1010,5,IN-6711,Trim #3087,Glass,ACE Pro Group,4,4,2023-12-06,2023-12-10,3,2023-12-08,1,,
1010,6,IN-5949,Glass #8552,Interior,Pro Plus Center,1,1,2023-12-27,2024-01-03,1,2023-12-30,0,,
1010,7,WD-6582,Electrical #8063,Interior,National Online Supplies,2,2,2023-12-17,2023-12-22,2,2023-12-21,1,,
1010,8,WD-8584,Suspension #2599,Exterior,Apex Plus Distributors,2,2,2023-12-23,2023-12-28,2,2023-12-24,1,,
1010,9,DM-9098,Panel #2483,Electrical,ACE Plus Components,1,1,2023-12-21,2023-12-25,0,,0,,
1010,10,WG-9704,Engine #7389,Trim,Advanced Online Auto Parts,1,1,2024-01-08,2024-01-15,1,2024-01-10,0,,
1010,11,HD-6640,Hardware #1133,Trim,Apex Direct Components #261,3,3,2023-12-30,2024-01-01,3,2024-01-02,1,,
1010,12,DM-9992,Panel #1013,Glass,Elite Max Services,3,3,2023-12-27,2024-01-03,0,,0,,
1010,13,SU-7459,Suspension #7271,Interior,Advanced Max Hub #195,1,1,2023-12-09,2023-12-16,1,2023-12-11,1,,
1011,1,CP-7301,Suspension #7835,Assembly,Elite Online Distributors,2,2,2023-12-29,2024-01-03,2,2024-01-02,0,,
1011,2,EN-1257,Assembly #8974,Interior,Pro Max Components,1,0,,,0,,0,,
1011,3,EL-3945,Exterior #9346,Interior,Advanced Pro Auto Parts #282,4,4,2023-12-10,2023-12-16,4,2023-12-15,1,,
1011,4,EL-9161,Electrical #9220,Engine,Midwest Online Center,2,2,2023-12-30,2024-01-03,2,2024-01-03,0,,
1011,5,SU-7038,Hardware #8889,Hardware,National Express Motors,1,1,2024-01-05,2024-01-10,1,2024-01-10,1,,
1011,6,TR-2449,Electrical #8740,Hardware,Pro Max Hub #276,3,3,2024-01-04,2024-01-11,3,2024-01-08,0,,
1011,7,WG-8438,Glass #8687,Trim,Pro Components,3,3,2024-01-08,2024-01-11,3,2024-01-13,0,,
1011,8,FD-5981,Trim #5267,Panel,National Pro Auto Parts,3,3,2023-12-28,2023-12-31,3,2023-12-31,0,,
1011,9,FM-8942,Hardware #3077,Glass,Premier Express Components,3,3,2024-01-08,2024-01-10,3,2024-01-13,0,,
1011,10,SU-2827,Trim #3860,Trim,Quality Online Hub,3,3,2023-12-19,2023-12-22,1,2023-12-22,0,,
1011,11,BD-9640,Panel #6617,Hardware,Superior Group #74,3,3,2023-12-30,2024-01-02,3,2024-01-01,1,,
1011,12,CP-8211,Assembly #4454,Trim,Advanced Max Supplies,4,4,2024-01-09,2024-01-16,4,2024-01-13,1,,
1011,13,WG-7533,Exterior #5937,Exterior,National Pro Distributors,1,1,2023-12-05,2023-12-11,1,2023-12-06,0,,
1012,1,BD-9690,Interior #1194,Engine,ACE Services,4,4,2023-12-16,2023-12-20,4,2023-12-20,1,,
1012,2,TR-6797,Interior #5466,Suspension,Quality Express Hub,5,5,2023-12-26,2024-01-01,5,2023-12-27,0,,
1012,3,SU-4193,Glass #6528,Assembly,Apex Plus Solutions,5,5,2023-12-19,2023-12-26,3,2023-12-23,0,,
1012,4,WD-9605,Hardware #8306,Suspension,Advanced Center,1,1,2024-01-06,2024-01-07,1,2024-01-07,1,,
1012,5,FD-4552,Trim #2995,Hardware,Quality Plus Supplies,1,1,2023-12-20,2023-12-23,1,2023-12-25,0,,
1012,6,SU-4018,Engine #5826,Exterior,Quality Hub #38,5,5,2024-01-09,2024-01-11,5,2024-01-11,0,,
1012,7,FM-3653,Hardware #5543,Panel,Advanced Max Hub #195,3,3,2024-01-11,2024-01-15,3,2024-01-15,1,,
1012,8,WG-2137,Exterior #4287,Trim,National Plus Hub,3,3,2023-12-26,2023-12-29,3,2023-12-29,0,,
1012,9,CP-2740,Exterior #5243,Hardware,National Services,2,2,2023-12-13,2023-12-19,2,2023-12-18,1,,
1012,10,WG-3438,Panel #1619,Interior,Apex Plus Supplies,3,3,2023-12-06,2023-12-07,3,2023-12-10,0,,
1012,11,TR-9039,Exterior #8144,Interior,Pro Pro Components,4,4,2023-12-11,2023-12-17,4,2023-12-16,0,,
1012,12,SU-8898,Hardware #9770,Suspension,Apex Online Services,3,0,,,0,,0,,
1012,13,WD-8530,Engine #4327,Assembly,Quality Max Auto Parts #283,1,1,2023-12-27,2023-12-28,1,2023-12-30,1,,
1013,1,EN-6886,Exterior #2390,Exterior,Advanced Pro Distributors,3,3,2023-12-04,2023-12-08,3,2023-12-08,0,,
1013,2,HD-2032,Glass #6041,Exterior,Quality Direct Motors,5,5,2023-12-10,2023-12-11,5,2023-12-12,1,,
1013,3,FD-6533,Panel #7643,Hardware,Pro Direct Solutions,5,0,,,0,,0,,
1013,4,WD-1604,Assembly #9010,Panel,Pro Online Motors,5,5,2023-12-31,2024-01-06,5,2024-01-02,0,,
1013,5,EN-1818,Engine #2594,Exterior,Elite Online Hub,2,2,2024-01-10,2024-01-11,2,2024-01-11,0,,
1013,6,EL-4613,Hardware #4320,Interior,Premier Max Center,1,1,2024-01-08,2024-01-09,1,2024-01-09,1,,
1013,7,EX-4493,Panel #3841,Suspension,Superior Express Supplies,5,5,2023-12-27,2023-12-30,4,2023-12-29,1,,
1013,8,WG-4991,Trim #1666,Assembly,Apex Express Hub,4,4,2023-12-09,2023-12-12,1,2023-12-12,0,,
1013,9,WD-1104,Panel #3939,Hardware,Premier Max Auto Parts,2,2,2024-01-11,2024-01-16,2,2024-01-12,1,,
1013,10,BD-5439,Glass #8379,Interior,Pro Services #122,4,4,2023-12-28,2024-01-03,4,2023-12-30,0,,
1013,11,EL-2442,Engine #6699,Interior,Pro Express Components,5,5,2023-12-13,2023-12-18,5,2023-12-15,1,,
1013,12,EX-9842,Glass #4592,Exterior,Quality Express Distributors #106,5,5,2024-01-06,2024-01-08,5,2024-01-07,1,,
1013,13,BD-3617,Panel #1885,Suspension,Premier Max Auto Parts,2,2,2023-12-19,2023-12-20,2,2023-12-23,1,,
1014,1,WD-1859,Glass #3881,Assembly,National Online Hub,5,5,2023-12-15,2023-12-19,5,2023-12-19,0,,
1014,2,HD-4256,Suspension #4769,Hardware,Superior Max Center,2,2,2024-01-02,2024-01-07,1,2024-01-07,1,,
1014,3,CP-2204,Exterior #8936,Panel,Elite Motors #223,4,4,2023-12-16,2023-12-17,4,2023-12-18,1,,
1014,4,DM-3234,Exterior #4181,Suspension,Quality Express Hub,4,4,2023-12-11,2023-12-13,4,2023-12-13,1,,
1014,5,FM-3236,Hardware #8627,Exterior,Premier Plus Motors,5,5,2023-12-14,2023-12-17,0,,0,,
1014,6,IN-3784,Trim #4763,Hardware,Midwest Online Center,3,3,2023-12-12,2023-12-19,3,2023-12-17,0,,
1014,7,EX-8581,Engine #1237,Interior,Apex Online Solutions,2,2,2024-01-04,2024-01-08,2,2024-01-09,1,,
1014,8,EL-1083,Interior #1724,Panel,ACE Max Distributors,2,2,2023-12-17,2023-12-20,2,2023-12-22,0,,
1014,9,WG-9114,Electrical #2361,Glass,Midwest Direct Components,4,4,2024-01-03,2024-01-04,4,2024-01-07,0,,
1014,10,EN-2486,Panel #8860,Engine,Superior Express Supplies #82,3,3,2023-12-28,2023-12-30,0,,0,,
1014,11,WG-3271,Interior #4030,Suspension,Superior Max Center #237,5,5,2023-12-31,2024-01-07,5,2024-01-01,1,,
1014,12,TR-1535,Engine #7977,Engine,Midwest Direct Hub #277,1,1,2024-01-11,2024-01-12,1,2024-01-15,1,,
1014,13,SU-1898,Glass #6963,Panel,Superior Direct Group,1,1,2024-01-07,2024-01-14,1,2024-01-12,1,,
1015,1,BD-2097,Glass #4354,Assembly,Pro Distributors #171,1,1,2023-12-26,2023-12-29,1,2023-12-29,1,,
1015,2,DM-5380,Glass #7929,Engine,Advanced Plus Hub,4,4,2023-12-17,2023-12-22,1,2023-12-19,1,,
1015,3,WG-9714,Glass #5788,Exterior,Quality Online Supplies,4,4,2023-12-06,2023-12-09,4,2023-12-11,0,,
1015,4,HD-3929,Engine #2260,Hardware,Elite Online Motors,4,4,2023-12-06,2023-12-08,4,2023-12-07,0,,
1015,5,TR-1371,Engine #7824,Glass,Elite Plus Auto Parts,4,4,2023-12-19,2023-12-20,4,2023-12-21,0,,
1015,6,WD-1361,Electrical #9513,Suspension,Midwest Online Center,1,1,2024-01-01,2024-01-04,1,2024-01-04,0,,
1015,7,WG-5982,Trim #3161,Engine,Elite Online Hub,3,3,2024-01-08,2024-01-11,3,2024-01-12,1,,
1015,8,DM-5659,Exterior #3725,Trim,Superior Express Supplies #82,3,3,2023-12-18,2023-12-20,3,2023-12-19,0,,
1015,9,CP-2915,Panel #6187,Trim,Midwest Pro Distributors,2,2,2024-01-05,2024-01-08,2,2024-01-07,0,,
1015,10,EN-6192,Suspension #3423,Suspension,ACE Services,2,2,2023-12-30,2024-01-02,2,2024-01-04,0,,
1015,11,WG-3381,Exterior #6246,Assembly,Pro Express Components,1,1,2024-01-05,2024-01-07,1,2024-01-06,1,,
1015,12,IN-3409,Trim #8243,Suspension,Elite Express Group,3,3,2024-01-05,2024-01-10,3,2024-01-09,1,,
1015,13,FM-1406,Interior #4610,Exterior,Premier Express Solutions,5,5,2024-01-01,2024-01-02,0,,0,,
1016,1,IN-5553,Electrical #1369,Hardware,Elite Plus Components,2,2,2023-12-07,2023-12-10,0,,0,,
1016,2,CP-9035,Suspension #9381,Panel,Premier Direct Distributors,1,1,2023-12-30,2024-01-05,1,2024-01-04,1,,
1016,3,DM-1199,Engine #6651,Suspension,Apex Max Hub #157,4,4,2023-12-27,2023-12-29,4,2023-12-30,1,,
1016,4,IN-8249,Engine #3683,Interior,Advanced Direct Services #212,2,2,2023-12-30,2024-01-06,2,2024-01-03,1,,
1016,5,FM-8776,Glass #6495,Hardware,Elite Plus Auto Parts #192,1,1,2023-12-10,2023-12-17,1,2023-12-12,0,,
1016,6,TR-8571,Trim #3243,Electrical,Superior Pro Supplies,3,3,2023-12-07,2023-12-08,3,2023-12-11,0,,
1016,7,WG-8593,Electrical #1439,Panel,Advanced Max Group,1,1,2023-12-26,2023-12-29,1,2023-12-29,1,,
1016,8,HD-3938,Exterior #5009,Panel,Advanced Plus Distributors,4,4,2023-12-18,2023-12-21,4,2023-12-19,1,,
1016,9,EL-8872,Trim #8144,Engine,Advanced Plus Hub #243,1,1,2023-12-19,2023-12-23,1,2023-12-24,1,,
1016,10,BD-1958,Assembly #6237,Exterior,Pro Max Components,5,5,2023-12-09,2023-12-12,5,2023-12-10,1,,
1016,11,FM-5778,Glass #2258,Glass,Premier Direct Group,3,3,2023-12-24,2023-12-26,1,2023-12-27,0,,
1016,12,EX-6180,Engine #5447,Suspension,Pro Services,5,5,2024-01-11,2024-01-13,5,2024-01-13,1,,
1016,13,TR-5610,Suspension #8944,Interior,Advanced Max Hub,2,2,2024-01-05,2024-01-10,2,2024-01-06,0,,
1017,1,IN-9612,Glass #2867,Interior,Superior Express Supplies #235,5,5,2023-12-12,2023-12-13,5,2023-12-14,0,,
1017,2,FM-6940,Assembly #8240,Trim,Quality Pro Supplies,1,1,2023-12-06,2023-12-07,1,2023-12-10,1,,
1017,3,BD-3332,Electrical #6036,Assembly,Superior Hub,1,1,2023-12-23,2023-12-25,1,2023-12-24,0,,
1017,4,IN-8934,Interior #1696,Electrical,Premier Online Services,1,1,2023-12-10,2023-12-11,1,2023-12-11,0,,
1017,5,WD-5145,Panel #2085,Engine,National Online Motors,5,5,2023-12-04,2023-12-11,5,2023-12-05,1,,
1017,6,BD-6759,Panel #2487,Assembly,Premier Online Solutions,5,5,2023-12-08,2023-12-15,1,2023-12-13,0,,
1017,7,TR-2119,Hardware #1229,Glass,Premier Pro Supplies,5,5,2024-01-08,2024-01-11,5,2024-01-13,0,,
1017,8,CP-9260,Exterior #7004,Trim,Midwest Direct Motors,5,5,2023-12-14,2023-12-17,5,2023-12-15,0,,
1017,9,HD-4510,Glass #4728,Interior,Elite Express Group,2,2,2023-12-30,2024-01-05,2,2024-01-02,1,,
1017,10,IN-6918,Engine #1665,Hardware,Premier Max Distributors,5,5,2023-12-22,2023-12-23,5,2023-12-24,1,,
1017,11,EN-8273,Electrical #7672,Engine,National Hub,4,4,2024-01-02,2024-01-03,4,2024-01-07,1,,
1017,12,EN-9055,Hardware #7494,Exterior,Quality Pro Supplies,4,4,2023-12-14,2023-12-21,2,2023-12-16,0,,
